95570,1810,104,44,40,24,3329,28,6376,23,51,8,3306,10,293,3220,79,24,86,42,100,33,94,34,141,13,177,4,164,2
889,73,678,206,681,210,693,186,66,461,56,474,75,494,68,646,937,126,946,90,1000,114,849,114,48,518,51,533,87,527
391,350,320,293,220,420,347,325,715,161,707,265,666,209,887,220,494,327,399,323,410,274,476,310,606,200,727,159,548,190
2325,294,2330,294,2070,290,2287,277,84,535,89,404,86,593,121,772,2319,284,2380,285,2300,283,2406,287,82,562,84,620,82,614
1536,285,1584,279,1444,277,1467,284,86,416,82,383,85,392,100,465,1322,274,1329,279,1325,280,1243,277,76,417,81,366,77,393
1411,278,1281,276,1354,281,1379,279,83,474,83,458,84,323,103,566,1556,283,1572,283,1498,276,1525,278,80,373,87,468,82,371
1634,281,1617,280,1550,269,1629,266,80,475,76,465,79,481,95,579,1493,251,1427,254,1578,248,1440,246,66,399,77,419,63,396
1295,231,1268,241,1368,247,1300,273,91,343,154,402,79,514,388,591,1183,366,1317,303,1333,399,1419,304,500,386,502,416,453,426
407,166,549,182,365,142,474,196,314,182,256,233,222,289,246,307,370,248,449,182,496,168,374,169,188,178,140,202,123,222
1069,161,1087,163,1291,178,1235,173,67,475,68,529,69,529,103,726,1394,185,1233,184,1308,181,1357,183,79,485,77,473,76,488
2299,276,2426,274,2308,271,2275,273,83,697,81,621,86,795,109,879,2366,280,2227,285,2332,284,2231,284,84,728,92,759,78,653
760,297,788,312,938,335,882,305,98,240,107,185,96,258,102,419,866,287,913,309,958,363,1181,338,87,306,99,349,101,310
1361,247,1367,241,1352,238,1277,232,145,458,139,419,148,507,170,557,1246,211,1265,234,1273,224,1292,241,167,456,237,318,227,394
661,144,648,174,391,111,642,177,650,231,374,163,618,226,911,268,615,215,611,216,659,183,634,169,642,200,732,222,592,250
584,207,595,229,363,122,574,204,772,147,443,106,680,182,899,190,605,169,624,157,714,225,638,155,628,163,670,159,606,137
892,121,843,114,581,77,907,115,454,308,312,233,534,284,630,447,873,119,806,118,916,126,834,112,479,318,484,372,475,324
766,93,740,93,602,69,767,90,187,390,144,355,168,343,237,460,763,93,780,89,722,92,713,91,159,386,160,406,157,360
696,78,680,84,506,62,681,82,180,328,153,254,192,326,254,431,708,85,663,87,738,90,689,87,202,293,219,329,205,335
683,141,590,138,394,86,674,137,427,140,278,129,420,149,615,210,657,136,629,137,658,148,648,139,429,126,467,146,426,153
664,140,694,144,479,91,699,146,485,257,309,127,487,229,669,346,722,149,762,153,814,165,747,148,507,282,541,280,513,293
798,143,809,142,503,91,829,139,494,281,319,168,478,254,650,391,769,137,749,136,873,147,782,134,478,270,494,274,463,283
871,156,888,158,559,105,836,162,520,331,360,208,539,341,625,343,919,174,999,180,985,259,959,246,600,364,665,404,696,316
695,220,724,228,402,109,569,252,765,208,458,136,816,205,1277,253,620,241,661,242,719,234,617,180,838,199,930,207,880,157
533,139,577,182,343,92,583,135,414,177,293,56,435,156,650,223,644,139,580,182,702,154,560,184,485,193,461,241,469,166
892,147,945,143,527,91,911,145,190,373,116,232,187,320,266,540,896,147,910,142,974,159,934,142,172,345,194,414,178,413
1090,143,959,141,636,89,963,137,173,415,118,306,182,417,245,516,969,137,906,136,1053,148,870,136,178,364,194,436,166,454
587,102,580,104,412,68,610,107,320,267,233,204,318,266,435,335,582,102,591,105,667,112,596,104,303,262,336,260,318,256
320,111,252,103,180,55,237,90,394,50,277,55,388,43,484,39,244,75,249,111,266,105,259,96,356,37,376,24,351,26
425,100,443,99,322,70,389,89,303,185,243,113,303,172,426,223,396,104,369,93,425,105,409,100,297,158,328,180,300,179
559,93,506,93,374,69,519,91,335,236,265,185,315,240,470,306,500,94,511,96,538,98,506,90,323,233,358,239,340,222
541,93,560,98,398,67,557,96,367,237,230,191,326,220,483,360,586,103,586,103,646,112,625,101,317,263,367,289,312,255
